Listing,Lat,Lon,Address,City,Type,List_Price,Sold_Price,Bedroom,Bathroom,Garage,Tax,Maintenance,Age,Size,Lot_Size,Days,List_Date
N4692011,43.78961,-79.61276,8221 Martin Grove Rd,Vaughan,Detached,1179000,1106000,4+1 Bedroom,4 Bathroom,2 Garage,4950,,-,2750 feet²,49.21 x 123.04 feet,22,2020-02-13
W4749505,43.57377,-79.64009,(Address not available),Mississauga,Detached,930000,930000,4 Bedroom,4 Bathroom,2 Garage,5546,,16-30,1500-2000 feet²,41.12 x 109.91 feet,14,2020-04-27
W4728549,43.59732,-79.76776,7170 Fayette Circ,Mississauga,Semi-Detached,729900,729900,3+2 Bedroom,3 Bathroom,1 Garage,3907,,-,1750 feet²,27.85 x 125.00 feet,9,2020-03-20
N4687957,43.8883,-79.45941,33 Waterhouse Way,Richmond Hill,Detached,1250000,1255000,5 Bedroom,3 Bathroom,2 Garage,6196,,-,2750 feet²,51.35 x 106.30 feet,1,2020-02-10
C4679236,43.77908,-79.39769,263 Dunforest Ave,North York,Detached,1788800,1700000,4+1 Bedroom,2 Bathroom,0 Garage,8238,,51-99,1500-2000 feet²,50 x 135.66 feet,4,2020-01-30
E4753224,43.81196,-79.2317,114 Bradstone Sq,Scarborough,Freehold Townhouse,634900,620000,4+1 Bedroom,2 Bathroom,1 Garage,2600,,-,1300 feet²,20 x 111.00 feet,13,2020-05-04
W4736517,43.55257,-79.75615,3984 Mcdowell Dr,Mississauga,Detached,944900,921000,3+2 Bedroom,3 Bathroom,2 Garage,5268,,-,1500-2000 feet²,39.4 x 103.77 feet,28,2020-04-03
C4724869,43.74102,-79.36301,78 Larkfield Dr,North York,Detached,2288800,2050000,4+1 Bedroom,2 Bathroom,2 Garage,8014,,-,2250 feet²,79 x 128.00 feet,2,2020-03-18
W4761664,43.64013,-79.7431,36 Cedar Lake Cres,Brampton,Condo Townhouse,639900,653000,3 Bedroom,3 Bathroom,1 Garage,4031,$312/month,6-10,1400-1599 feet²,,5,2020-05-14
C4662600,43.6526,-79.39047,Unit 428 - 73 Mc Caul St,Toronto,Condo Apt,485000,500000,1 Bedroom,1 Bathroom,0 Garage,1871,$680/month,-,600-699 feet²,,7,2020-01-07
E4754536,43.67981,-79.28968,216 Balsam Ave,Toronto,Semi-Detached,1090000,1095000,4+1 Bedroom,3 Bathroom,0 Garage,5512,,-,2250 feet²,45 x 103.52 feet,4,2020-05-05
N4694763,43.82934,-79.65819,111 Killington Ave,Vaughan,Detached,1250000,1255000,4+1 Bedroom,4 Bathroom,2 Garage,5700,,6-15,2500-3000 feet²,50 x 101.80 feet,6,2020-02-18
W4719503,43.69618,-79.56449,136 Kingsview Blvd,Etobicoke,Detached,799900,820000,3 Bedroom,2 Bathroom,2 Garage,3162,,-,1300 feet²,45 x 140.00 feet,4,2020-03-12
N4663259,43.90794,-79.43752,47 Falling River Dr,Richmond Hill,Detached,1330000,1305000,4+2 Bedroom,4 Bathroom,2 Garage,6325,,6-15,2500-3000 feet²,39.37 x 109.91 feet,13,2020-01-08
E4666728,43.76446,-79.21087,4 Nightingale Pl,Scarborough,Detached,699000,730000,3 Bedroom,3 Bathroom,2 Garage,3059,,-,1750 feet²,47.31 x 102.68 feet,65,2020-01-13
C4691941,43.79011,-79.39275,Unit 1009 - 3237 Bayview Ave,North York,Condo Apt,659900,645000,2 Bedroom,2 Bathroom,1 Garage,0,$464/month,New,900-999 feet²,,12,2020-02-13
N4697314,43.85654,-79.32442,Unit 301 - 8200 Birchmount Rd,Markham,Condo Apt,439900,530000,1 Bedroom,1 Bathroom,1 Garage,2123,$339/month,0-5,500-599 feet²,,9,2020-02-20
N4745400,43.88331,-79.25613,4 Paramount Rd,Markham,Detached,997500,935000,4 Bedroom,1 Bathroom,1 Garage,5057,,51-99,1100-1500 feet²,67.6 x 146.00 feet,11,2020-04-20
E4694889,43.77933,-79.28145,Unit 2217 - 181 Village Green Sq,Scarborough,Condo Apt,449000,580000,1+1 Bedroom,1 Bathroom,1 Garage,1765,$494/month,6-10,600-699 feet²,,7,2020-02-18
E4690637,43.69203,-79.26474,65 Birchcliff Ave,Scarborough,Detached,899000,990000,3+1 Bedroom,2 Bathroom,1 Garage,3349,,-,1750 feet²,33 x 140.00 feet,10,2020-02-12
W4669722,43.67542,-79.81639,105 Decker Hollow Circ,Brampton,Semi-Detached,697900,699000,3 Bedroom,3 Bathroom,1 Garage,4182,,6-15,1500-2000 feet²,27.79 x 99.70 feet,5,2020-01-16
C4743052,43.64044,-79.39715,Unit 4002 - 21 Iceboat Terr,Toronto,Condo Apt,557500,554200,1 Bedroom,1 Bathroom,0 Garage,1856,$377/month,6-10,500-599 feet²,,36,2020-04-15
E4730967,43.8517577,-79.0677068,Unit 85 - 1850 Kingston Rd,Pickering,Freehold Townhouse,569000,595000,3 Bedroom,2 Bathroom,2 Garage,3940,$115/month,16-30,1750 feet²,19.69 x 59.55 feet,1,2020-03-25
E4658231,43.7903,-79.19695,Unit 16 - 750 Military Tr,Scarborough,Condo Townhouse,500000,486500,6 Bedroom,4 Bathroom,1 Garage,1741,$387/month,-,1400-1599 feet²,,18,2019-12-30
E4674350,43.7512,-79.28416,38 Vauxhall Dr,Scarborough,Detached,749000,838888,3 Bedroom,1 Bathroom,1 Garage,3304,,-,1300 feet²,45 x 120.00 feet,1,2020-01-23
E4666248,43.96865,-79.12771,4935 Old Brock Rd,Pickering,Detached,750000,720000,2+2 Bedroom,2 Bathroom,2 Garage,7442,,-,1100-1500 feet²,101.3 x 463.09 feet,32,2020-01-13
E4651717,43.69001,-79.33273,202 Linsmore Cres,Toronto,Detached,899000,1000000,2 Bedroom,1 Bathroom,0 Garage,3462,,-,900 feet²,30 x 134.00 feet,6,2019-12-11
W4701626,43.68847,-79.50083,2 Pinehill Cres,Toronto,Detached,690000,650000,2+2 Bedroom,2 Bathroom,1 Garage,2300,,-,900 feet²,31 x 114.00 feet,32,2020-02-24
W4663399,43.54043,-79.59857,Unit 129 - 1050 Shawnmarr Rd,Mississauga,Condo Townhouse,634900,611500,3 Bedroom,2 Bathroom,2 Garage,2880,$489/month,-,1200-1399 feet²,,13,2020-01-08
N4742535,43.87633,-79.24291,12 Wootten Way S,Markham,Detached,1488000,1471000,4+1 Bedroom,5 Bathroom,2 Garage,4950,,-,2000-2500 feet²,60 x 110.00 feet,19,2020-04-12
